objectid,title,format,display_template,object_location,object_link,home_feature,featured_image,cb_template,location,latitude,longitude,description,subject,date,collection_type,institution_type,institution,creator,creator_github,language,image_small,image_thumb
example0001,ARTH 322: Early Modern Italian Art and Culture (ca. 1550-1700),image/jpeg,record,/objects/example0001.jpg,https://ahva-vrc.github.io/early-modern-italy/,,/objects/example0001.jpg,CB-GH,"Vancouver, BC, Canada",49.26130538,-123.2461869,"This website is for the course ARTH 322 Early Modern Italian Art and Culture (ca. 1550-1700): The Spectacle fo the Counter Reformation taught by Joseph Monteyne in the Department of Art History, Visual Art and Theory, University of British Columbia. This course provides a study of the visual culture of Counter Reformation Italy, with particular emphasis on Rome as the center of artistic, cultural, economic, and religious life in seventeenth century Italy.",Art; Italian culture,2023,Course,,University of British Columbia,Joseph Monteyne; UBC AHVA Visual Resources Centre,https://github.com/ahva-vrc,eng,/objects/small/example0001_sm.jpg,/objects/thumbs/example0001_th.jpg
example0002,ARTH 320: Entangled Worlds,image/jpeg,record,/objects/example0002.jpg,https://ahva-vrc.github.io/entangled-worlds/,,/objects/example0002.jpg,CB-GH,"Vancouver, BC, Canada",49.26130538,-123.2461869,"This website is for the course ARTH 320 Entangled Worlds: Art and Architecture in Spain and Colonial Latin America taught by Joseph Monteyne in the Department of Art History, Visual Art and Theory, University of British Columbia. This course surveys painting, sculpture, and architecture in Spain and colonial Latin America during the reign of the Habsburg dynasty with a focus on transcultural modes.",Art; Architecture,2023,Course,,University of British Columbia,Joseph Monteyne; UBC AHVA Visual Resources Centre,https://github.com/ahva-vrc,eng,/objects/small/example0002_sm.jpg,/objects/thumbs/example0002_th.jpg
example0003,Tacoma Japanese Language School Oral History Collection,image/jpeg,record,/objects/example0003.jpg,https://uwtacomalibrary.github.io/TJLS/,,/objects/example0003.jpg,CB-CSV,"Tacoma, WA",47.24557177,-122.4385054,Oral histories from Tacoma's Nisei community about the Japanese Language School and their lives in pre-war Puget Sound.,Japanese; Washington,2023,Oral Histories; Digital Scholarship Project,Academic Library,University of Washington Tacoma,Erika Bailey; University of Washington Tacoma Library,https://github.com/UWTacomaLibrary,eng,/objects/small/example0003_sm.jpg,/objects/thumbs/example0003_th.jpg
example0004,Runakunaq Bibliotecanku,image/jpeg,record,/objects/example0004.jpg,http://runaqlib.hosting.nyu.edu/,TRUE,/objects/example0004.jpg,CB-CSV,"New York, NY",40.72992185,-73.99458505,Runakunaq Bibliotecanku is a collection of Quechua and Andean-centered materials.,Andean studies; Magazines; Poetry,2023,Digital Archive,Academic Library,New York University,Alia Warsco; Center for Latin American and Caribbean Studies at NYU,https://github.com/runaqlib,eng,/objects/small/example0004_sm.jpg,/objects/thumbs/example0004_th.jpg
example0005,Meridian Police Department Collection,image/jpeg,record,/objects/example0005.jpg,https://historycenter.mld.org/meridianpolice/,,/objects/example0005.jpg,CB-CSV,"Meridian, ID",43.61313572,-116.3887168,"This is a digital collection of historical documents pertaining to the Meridian, Idaho Police Department",Police; Local history; Idaho,2023,Digital Archive,Public Library,Meridian Library District,Meridian Library District History Center,https://github.com/historycenter-mld,eng,/objects/small/example0005_sm.jpg,/objects/thumbs/example0005_th.jpg
example0006,Meridian Library District Digital Collections,image/jpeg,record,/objects/example0006.jpg,https://historycenter.mld.org/,TRUE,/objects/example0006.jpg,CB-CSV,"Meridian, ID",43.61313572,-116.3887168,"Since 2022, the Meridian Library District has been digitizing Meridian historical collections in an effort to preserve, document, and make available the history and culture of the area. You can browse the library's digital collections using this platform.",Local history; Idaho,2023,Digital Archive,Public Library,Meridian Library District,Meridian Library District History Center,https://github.com/historycenter-mld,eng,/objects/small/example0006_sm.jpg,/objects/thumbs/example0006_th.jpg
example0007,The Oregon Forestry Industry,image/jpeg,record,/objects/example0007.jpg,https://lib410-spring2023.github.io/group-2/,,/objects/example0007.jpg,CB-GH,"Eugene, OR",44.11396139,-123.059202,"Created by students in LIB 410: Humanities Research Data Management at the University of Oregon, this digital collection thematic research topic is focused on the forestry industry in Oregon in the 19th and 20th centuries. The students chose this topic because forestry is an important part of Oregon’s history and economy, as the state is still one of the top producers of lumber in the United States today. This collection focuses on the workers who help run this industry, with photographs depicting men at work, maps of worker camp sites, as well as the tools and machinery they used to process and transport lumber collected from different GLAMS. By collecting these digital objects together, the students hope that viewers can get a glimpse into the day-to-day lives of loggers and forestry workers in Oregon.",Forestry; Logging,2023,Student Project,,University of Oregon,Isabelle Dana; Mattie Lucero; Elena Perez; Cecelia Staggs,https://github.com/LIB410-Spring2023,eng,/objects/small/example0007_sm.jpg,/objects/thumbs/example0007_th.jpg
example0008,Haunted Locations in Oregon,image/jpeg,record,/objects/example0008.jpg,https://lib410-spring2023.github.io/group-1/,,/objects/example0008.jpg,CB-GH,"Eugene, OR",44.11396139,-123.059202,"Created by students in LIB 410: Humanities Research Data Management at the University of Oregon, this digital collection is a survey of reportedly haunted locations in Oregon, mostly consisting of photographs of historic buildings and cemeteries. The collection consists of 21 images taken from 1855 to 1977 in several regions of Oregon, including the Willamette Valley, the coast, and Southern Oregon. Locations were designated haunted by personal recollection of folk legends as well as by other Oregonians. Objects were collected through a combination of national and state repositories. The collection offers a different look at a survey of historical places in Oregon by taking into account Oregon’s long history of superstition and folk legends.",Historic houses; Hotels; Haunted locations,2023,Student Project,,University of Oregon,Emily Colson; Olivia Wilkinson; Jonathan Nelson; Matt Skeels,https://github.com/LIB410-Spring2023,eng,/objects/small/example0008_sm.jpg,/objects/thumbs/example0008_th.jpg
example0009,Asian Heritage in Oregon Throughout History,image/jpeg,record,/objects/example0009.jpg,https://lib410-spring2023.github.io/group-3/,,/objects/example0009.jpg,CB-GH,"Eugene, OR",44.11396139,-123.059202,"Created by students in LIB 410: Humanities Research Data Management at the University of Oregon, this digital collection focuses on the immigration of Asian populations to Oregon from 1850-1980, with a focus on primary sources to help narrate the important and complex story of Asian immigration during a century of turmoil for these communities in America. We are including photographs, letters, art, artifacts, legal documents, newspaper articles, and more to formulate a thematic and chronological history of these diverse communities within Oregon.",Immigration; Chinese Americans; Chinese,2023,Student Project,,University of Oregon,Claire Matucan; Regan Robinson; Jackson Scharf; Daveena Williams,https://github.com/LIB410-Spring2023,eng,/objects/small/example0009_sm.jpg,/objects/thumbs/example0009_th.jpg
example0010,"Women and Healing in US History, 1600-1865",image/jpeg,record,/objects/example0010.jpg,https://historianem.github.io/us-womenshistory-1865/,,/objects/example0010.jpg,CB-GH,"Evanston, IL",42.06079276,-87.67664029,"A series of manuals, books, journal and newspaper articles, photographs, prints, and lectures on the history and practices of midwives and female physicians, between roughly 1700 and 1865. This collection was generated for the class, US Women's History to 1865, created and taught by Susan Pearson, and was made possible by the Chabraja Center for Historical Studies at Northwestern University.",Midwives; Newspapers; Women physicians,2023,Student Project,,Northwestern University,Susan Pearson; Emily Lyon,https://github.com/historianem,eng,/objects/small/example0010_sm.jpg,/objects/thumbs/example0010_th.jpg
